tiup is checking updates for component bench ...
Starting component `bench`: /home/lintianshi/.tiup/components/bench/v1.10.3/tiup-bench tpcc --warehouses 8 -H 172.16.4.76 -P 4056 -p W#p=@5T7bgz3Y20-x9 --threads 4 run
[Current] DELIVERY - Takes(s): 9.8, Count: 60, TPM: 367.5, Sum(ms): 8009.9, Avg(ms): 133.1, 50th(ms): 117.4, 90th(ms): 209.7, 95th(ms): 226.5, 99th(ms): 234.9, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 576, TPM: 3458.7, Sum(ms): 18745.3, Avg(ms): 32.5, 50th(ms): 30.4, 90th(ms): 50.3, 95th(ms): 58.7, 99th(ms): 71.3, 99.9th(ms): 79.7, Max(ms): 88.1
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 53, TPM: 328.0, Sum(ms): 704.8, Avg(ms): 13.3, 50th(ms): 13.1, 90th(ms): 18.9, 95th(ms): 19.9, 99th(ms): 23.1, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] PAYMENT - Takes(s): 10.0, Count: 528, TPM: 3172.3, Sum(ms): 11140.4, Avg(ms): 21.1, 50th(ms): 19.9, 90th(ms): 35.7, 95th(ms): 41.9, 99th(ms): 62.9, 99.9th(ms): 79.7, Max(ms): 176.2
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 55, TPM: 334.6, Sum(ms): 1174.2, Avg(ms): 21.4, 50th(ms): 18.9, 90th(ms): 35.7, 95th(ms): 35.7, 99th(ms): 37.7, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] DELIVERY - Takes(s): 10.0, Count: 46, TPM: 277.3, Sum(ms): 5676.2, Avg(ms): 123.6, 50th(ms): 109.1, 90th(ms): 201.3, 95th(ms): 218.1, 99th(ms): 268.4, 99.9th(ms): 268.4, Max(ms): 268.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 755, TPM: 4545.6, Sum(ms): 20286.4, Avg(ms): 26.9, 50th(ms): 23.1, 90th(ms): 46.1, 95th(ms): 54.5, 99th(ms): 75.5, 99.9th(ms): 113.2, Max(ms): 125.8
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 49, TPM: 294.2, Sum(ms): 582.2, Avg(ms): 11.9, 50th(ms): 10.5, 90th(ms): 18.9, 95th(ms): 23.1, 99th(ms): 35.7, 99.9th(ms): 35.7, Max(ms): 35.7
[Current] PAYMENT - Takes(s): 10.0, Count: 734, TPM: 4405.7, Sum(ms): 11799.4, Avg(ms): 16.1, 50th(ms): 12.6, 90th(ms): 29.4, 95th(ms): 37.7, 99th(ms): 58.7, 99.9th(ms): 134.2, Max(ms): 167.8
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 68, TPM: 414.1, Sum(ms): 1388.7, Avg(ms): 20.4, 50th(ms): 18.9, 90th(ms): 28.3, 95th(ms): 39.8, 99th(ms): 48.2, 99.9th(ms): 54.5, Max(ms): 54.5
[Current] DELIVERY - Takes(s): 10.0, Count: 89, TPM: 534.6, Sum(ms): 8417.3, Avg(ms): 94.5, 50th(ms): 88.1, 90th(ms): 117.4, 95th(ms): 159.4, 99th(ms): 192.9, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 921, TPM: 5526.1, Sum(ms): 18265.8, Avg(ms): 19.8, 50th(ms): 18.9, 90th(ms): 26.2, 95th(ms): 31.5, 99th(ms): 48.2, 99.9th(ms): 65.0, Max(ms): 75.5
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 88, TPM: 528.8, Sum(ms): 839.6, Avg(ms): 9.6, 50th(ms): 9.4, 90th(ms): 13.1, 95th(ms): 14.2, 99th(ms): 18.9, 99.9th(ms): 27.3, Max(ms): 27.3
[Current] PAYMENT - Takes(s): 10.0, Count: 909, TPM: 5456.2, Sum(ms): 10916.7, Avg(ms): 12.0, 50th(ms): 10.5, 90th(ms): 17.8, 95th(ms): 22.0, 99th(ms): 37.7, 99.9th(ms): 56.6, Max(ms): 71.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 78, TPM: 469.4, Sum(ms): 1340.2, Avg(ms): 17.2, 50th(ms): 16.8, 90th(ms): 21.0, 95th(ms): 23.1, 99th(ms): 26.2, 99.9th(ms): 33.6, Max(ms): 33.6
[Current] DELIVERY - Takes(s): 9.8, Count: 52, TPM: 319.6, Sum(ms): 6363.1, Avg(ms): 122.2, 50th(ms): 92.3, 90th(ms): 226.5, 95th(ms): 260.0, 99th(ms): 318.8, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 654, TPM: 3930.0, Sum(ms): 17562.6, Avg(ms): 26.9, 50th(ms): 22.0, 90th(ms): 46.1, 95th(ms): 52.4, 99th(ms): 75.5, 99.9th(ms): 113.2, Max(ms): 352.3
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 52, TPM: 332.8, Sum(ms): 561.4, Avg(ms): 10.8, 50th(ms): 10.5, 90th(ms): 15.7, 95th(ms): 16.3, 99th(ms): 19.9, 99.9th(ms): 19.9, Max(ms): 19.9
[Current] PAYMENT - Takes(s): 10.0, Count: 625, TPM: 3753.3, Sum(ms): 14027.5, Avg(ms): 22.5, 50th(ms): 12.6, 90th(ms): 30.4, 95th(ms): 39.8, 99th(ms): 71.3, 99.9th(ms): 939.5, Max(ms): 973.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 65, TPM: 392.2, Sum(ms): 1304.8, Avg(ms): 20.1, 50th(ms): 17.8, 90th(ms): 30.4, 95th(ms): 37.7, 99th(ms): 48.2, 99.9th(ms): 60.8, Max(ms): 60.8
[Current] DELIVERY - Takes(s): 9.9, Count: 90, TPM: 545.7, Sum(ms): 8475.4, Avg(ms): 94.2, 50th(ms): 88.1, 90th(ms): 113.2, 95th(ms): 130.0, 99th(ms): 176.2, 99.9th(ms): 201.3, Max(ms): 201.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 910, TPM: 5460.6, Sum(ms): 18319.0, Avg(ms): 20.1, 50th(ms): 19.9, 90th(ms): 26.2, 95th(ms): 29.4, 99th(ms): 35.7, 99.9th(ms): 41.9, Max(ms): 44.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 71, TPM: 428.1, Sum(ms): 747.0, Avg(ms): 10.5, 50th(ms): 11.0, 90th(ms): 13.6, 95th(ms): 14.7, 99th(ms): 24.1, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] PAYMENT - Takes(s): 10.0, Count: 883, TPM: 5302.0, Sum(ms): 10703.8, Avg(ms): 12.1, 50th(ms): 11.5, 90th(ms): 16.8, 95th(ms): 19.9, 99th(ms): 27.3, 99.9th(ms): 31.5, Max(ms): 35.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 87, TPM: 529.9, Sum(ms): 1507.1, Avg(ms): 17.4, 50th(ms): 16.8, 90th(ms): 23.1, 95th(ms): 26.2, 99th(ms): 26.2, 99.9th(ms): 28.3, Max(ms): 28.3
[Current] DELIVERY - Takes(s): 9.8, Count: 90, TPM: 552.5, Sum(ms): 7639.0, Avg(ms): 85.1, 50th(ms): 83.9, 90th(ms): 104.9, 95th(ms): 109.1, 99th(ms): 151.0, 99.9th(ms): 151.0, Max(ms): 151.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 976, TPM: 5856.2, Sum(ms): 18700.6, Avg(ms): 19.2, 50th(ms): 18.9, 90th(ms): 25.2, 95th(ms): 28.3, 99th(ms): 37.7, 99.9th(ms): 58.7, Max(ms): 65.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 81, TPM: 487.5, Sum(ms): 779.4, Avg(ms): 9.6, 50th(ms): 10.0, 90th(ms): 12.6, 95th(ms): 13.1, 99th(ms): 15.7, 99.9th(ms): 16.3, Max(ms): 16.3
[Current] PAYMENT - Takes(s): 10.0, Count: 951, TPM: 5708.2, Sum(ms): 11081.5, Avg(ms): 11.7, 50th(ms): 11.0, 90th(ms): 16.3, 95th(ms): 19.9, 99th(ms): 29.4, 99.9th(ms): 52.4, Max(ms): 79.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 92, TPM: 556.1, Sum(ms): 1520.4, Avg(ms): 16.5, 50th(ms): 16.3, 90th(ms): 21.0, 95th(ms): 23.1, 99th(ms): 27.3, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] DELIVERY - Takes(s): 9.9, Count: 58, TPM: 352.0, Sum(ms): 6613.0, Avg(ms): 114.1, 50th(ms): 92.3, 90th(ms): 184.5, 95th(ms): 209.7, 99th(ms): 260.0, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 643, TPM: 3860.3, Sum(ms): 19435.7, Avg(ms): 30.3, 50th(ms): 25.2, 90th(ms): 52.4, 95th(ms): 58.7, 99th(ms): 79.7, 99.9th(ms): 88.1, Max(ms): 96.5
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 73, TPM: 441.5, Sum(ms): 1019.5, Avg(ms): 14.0, 50th(ms): 12.1, 90th(ms): 23.1, 95th(ms): 25.2, 99th(ms): 27.3, 99.9th(ms): 28.3, Max(ms): 28.3
[Current] PAYMENT - Takes(s): 10.0, Count: 654, TPM: 3929.2, Sum(ms): 11386.0, Avg(ms): 17.4, 50th(ms): 13.6, 90th(ms): 32.5, 95th(ms): 39.8, 99th(ms): 52.4, 99.9th(ms): 71.3, Max(ms): 71.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 59, TPM: 354.0, Sum(ms): 1304.4, Avg(ms): 22.2, 50th(ms): 18.9, 90th(ms): 35.7, 95th(ms): 37.7, 99th(ms): 44.0, 99.9th(ms): 46.1, Max(ms): 46.1
[Current] DELIVERY - Takes(s): 9.9, Count: 57, TPM: 343.8, Sum(ms): 7046.4, Avg(ms): 123.4, 50th(ms): 113.2, 90th(ms): 184.5, 95th(ms): 192.9, 99th(ms): 209.7, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 617, TPM: 3711.6, Sum(ms): 19454.2, Avg(ms): 31.6, 50th(ms): 28.3, 90th(ms): 48.2, 95th(ms): 56.6, 99th(ms): 75.5, 99.9th(ms): 109.1, Max(ms): 117.4
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 63, TPM: 381.7, Sum(ms): 862.4, Avg(ms): 13.7, 50th(ms): 13.6, 90th(ms): 22.0, 95th(ms): 24.1, 99th(ms): 25.2, 99.9th(ms): 32.5, Max(ms): 32.5
[Current] PAYMENT - Takes(s): 10.0, Count: 580, TPM: 3481.4, Sum(ms): 11312.7, Avg(ms): 19.5, 50th(ms): 16.8, 90th(ms): 35.7, 95th(ms): 41.9, 99th(ms): 54.5, 99.9th(ms): 71.3, Max(ms): 88.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 50, TPM: 301.7, Sum(ms): 1180.5, Avg(ms): 23.7, 50th(ms): 24.1, 90th(ms): 31.5, 95th(ms): 39.8, 99th(ms): 41.9, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] DELIVERY - Takes(s): 9.9, Count: 84, TPM: 509.6, Sum(ms): 8073.1, Avg(ms): 96.0, 50th(ms): 92.3, 90th(ms): 113.2, 95th(ms): 121.6, 99th(ms): 192.9, 99.9th(ms): 201.3, Max(ms): 201.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 925, TPM: 5555.8, Sum(ms): 18976.4, Avg(ms): 20.5, 50th(ms): 19.9, 90th(ms): 26.2, 95th(ms): 29.4, 99th(ms): 41.9, 99.9th(ms): 56.6, Max(ms): 71.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 81, TPM: 487.7, Sum(ms): 815.4, Avg(ms): 10.0, 50th(ms): 10.5, 90th(ms): 13.6, 95th(ms): 14.7, 99th(ms): 18.9, 99.9th(ms): 19.9, Max(ms): 19.9
[Current] PAYMENT - Takes(s): 10.0, Count: 861, TPM: 5174.2, Sum(ms): 10375.3, Avg(ms): 12.0, 50th(ms): 11.5, 90th(ms): 17.8, 95th(ms): 21.0, 99th(ms): 28.3, 99.9th(ms): 33.6, Max(ms): 41.9
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 85, TPM: 510.2, Sum(ms): 1471.8, Avg(ms): 17.4, 50th(ms): 17.8, 90th(ms): 21.0, 95th(ms): 23.1, 99th(ms): 24.1, 99.9th(ms): 33.6, Max(ms): 33.6
